time,open,high,low,close
1778008320,7297.75,7298.25,7297.25,7298
1778008380,7298.25,7299,7297.75,7298
1778008440,7297.75,7298,7296.75,7296.75
1778008500,7296.75,7297,7294.75,7295.75
1778008560,7296,7296.75,7295.75,7296.5
1778008620,7296.75,7297.75,7296.5,7297
1778008680,7297,7298,7296.75,7297.75
1778008740,7297.75,7298.25,7297.5,7298
1778008800,7298.25,7298.25,7297.25,7297.5
1778008860,7297.5,7298,7296.5,7297.5
1778008920,7297.75,7298.75,7297.5,7298.25
1778008980,7298.5,7298.75,7298.25,7298.75
1778009040,7298.75,7299,7298,7298.75
1778009100,7298.75,7299.75,7298.75,7299.25
1778009160,7299.5,7299.75,7298,7298
1778009220,7298,7298.25,7297.25,7297.5
1778009280,7297.75,7298.25,7297,7297
1778009340,7297,7297.75,7296.5,7296.5
1778009400,7296.5,7297.25,7295.75,7297
1778009460,7297,7298,7297,7298
1778009520,7297.75,7298.5,7297,7297.25
1778009580,7297,7297.25,7296.5,7296.75
1778009640,7296.75,7297,7296,7296.25
1778009700,7296.25,7296.75,7294,7294.5
1778009760,7294.5,7295.75,7294.25,7295.25
1778009820,7295.5,7296.25,7295,7295.75
1778009880,7295.75,7297.75,7295.5,7297.5
1778009940,7297.75,7297.75,7296.5,7297
1778010000,7297.25,7297.5,7296.5,7297.25
1778010060,7297,7297.25,7296,7296.25
1778010120,7296.25,7296.5,7295.25,7295.25
1778010180,7295.25,7296.5,7295.25,7296.25
1778010240,7296.25,7297.5,7296,7297
1778010300,7297,7297.25,7296.25,7297
1778010360,7297,7297.5,7295.5,7295.75
1778010420,7295.75,7296,7294.75,7296
1778010480,7296,7296.25,7294.75,7294.75
1778010540,7294.75,7295,7294,7294
1778010600,7294,7294,7288,7289
1778010660,7288.75,7289,7286,7287.75
1778010720,7287.5,7288.75,7286.75,7287.25
1778010780,7287.25,7288,7286.5,7287.25
1778010840,7287.25,7287.5,7285,7286.75
1778010900,7286.75,7287,7283,7284.5
1778010960,7284.5,7285,7282.5,7284
1778011020,7283.75,7286,7283,7285.75
